Programa,Horario,Tema,Tag,Negativar,Sentimento
Hora,04:04,"Enterro, morte",,,"tristeza, indignacao"
Hora,04:11,Previsao do tempo sol,"Turismo, protetor solar, biquini, praia",nordeste,"Entusiasmo, alegria"
Hora,04:17,Roubo de carros,"Seguro, seguranca",,"indignacao, preocupacao"
Hora,04:20,Futebol,"Futebol, esporte,",,"Diversao, neutro"
Hora,04:26,predios que desabaram,,"Construtora, material de construcao","tristeza, indignacao"
Hora,04:27,igreja em paris,"turismo, religiao crista",,"Curiosidade, animacao"
Hora,04:28,Papa Francisco,,,"curiosidade, esperanca"
Hora,04:35,"predios que desabaram, morte crianca",,"Construtora, material de construcao","tristeza, indignacao"
Hora,04:38,morte crianca ,,familia,"tristeza, indignacao"
Hora,04:41,política russia eua,,"turismo eua, turismo russia",curioso
Hora,04:44,noticias internacionais positivas e neutras,turismo,,"curioso, animado"
Hora,04:45,navio maranhao,"caminhao, carro, logistica terrestre","logistica navio, Vale","curioso, neutro"
Hora,04:48,Previsao do tempo sol,"turismo brasil, praia, viagem, biquini, protetor solar",,"curioso, neutro, animacao"
Hora,04:55,Futebol flamengo,"flamengo, ",vasco,"feliz, ansioso"
Hora,04:58,"politica, justica br",,,indignacao
Hora,04:59,procissao mg,"Turismo mg, religiao, viagem",,"feliz, animado"
Hora,05:03,previsao tempo,turismo brasil,,"animado, "
Hora,05:06,delacao odebrech,,,indignizacao
Hora,05:13,Bolsonaro exercito imprensa,,,neutro
Hora,05:16,escalada jornais assuntos polemicos,,,"informativo, curioso"
Hora,05:20,Previsao do tempo chuva sp,"Viagem nordeste, rj, br geral",,neutro
Hora,05:21,evento religioso bh,"Turismo mg, turismo geral, religioso",,"curioso, animado"
Hora,05:26,evento religioso sp,"turismo sp, turismos geral, religioso",,"curioso, animado"
Hora,05:27,evento religioso ce,"turismo ce, turismos geral, religioso, turismo nordeste",,"curioso, animado"
Hora,05:35,transito estradas,turismo,,"curioso, animado"
Hora,05:41,previsao do tempo chuva norte e nordeste,"turismo sul e sudeste, goiania, BH",turismos nordeste e norte,"curioso, animado"
Hora,05:45,Encontro eua e Japao,turismo geral,Coreia,"curioso, animado"
Hora,05:48,Uniao irlanda e Alemanha,,,"curioso, animado"
Hora,05:45,encenacao religiosa,,,"Aflicao, fervor religioso catolico"
Hora,05:46,Pascoa Japao,"Turismo japao, Pascoa, chocolate",,"curioso, animado"
Hora,05:51,Tratamentos alternativos sus,,saude paga,"curioso, animado"
Hora,05:54,esporte futebol corinthians,Corinthians,"palmeiras, Sao Paulo Futebol Clube",animado
Hora,05:55,encerramento Hora 1,,,"animado, feliz, divertido"
Mais Voce,09:00,abertura musica roberto carlos,,,emocionante
Mais Voce,09:02,santo expedito,"religioso, turismo religioso",,"curioso, animado"
Mais Voce,09:07,"milho, logo qualita","milho, supermercado pao de acucar, legumes, alimentacao, turismo sao paulo","extra, carrefour, sonda, limpeza","curioso, animado, fome"
Mais Voce,09:20,Entrevista Palmirinha,"gastronomia, restaurante, supermercado, alimentos",Limpeza,"carinho, emocao"
Mais Voce,09:26,Noticias g1 mix negativo e positivo,,Limpeza,curioso
Mais Voce,09:27,Entrevista Palmirinha,"gastronomia, restaurante, supermercado, alimentos, familia",Limpeza,"carinho, muita emocao"
Mais Voce,09:44,merchandising recarga celular,,recarga celular,interessante
Mais Voce,09:47,Entrevista Palmirinha,"gastronomia, restaurante, supermercado, alimentos, familia",Limpeza,"carinho, muita emocao"
Mais Voce,09:49,Quadro gastronomia pratos divertidos,"infantil, supermercado",Limpeza,"divertido, animado"
Mais Voce,09:53,Entrevista Palmirinha,"gastronomia, restaurante, supermercado, alimentos, familia",Limpeza,"carinho, muita emocao"